Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.012682,0.000196,-0.016919,0,0,0,92,2.8541,0.0046,-0.27747,3.617,-0.002668,4.0269,0,0,0,0,0,0,package://wh044/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wh044/meshes/base_link.STL,,base-2,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_lift1_link,-1.3878E-17,-3.3098E-13,8.8041E-14,0,0,0,1,0.016922,2.5845E-19,1.6664E-18,0.016922,2.2407E-14,0.0021605,0,0,0,0,0,0,package://wh044/meshes/waist_lift1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wh044/meshes/waist_lift1_link.STL,,waist_lift1-2,waist_lift1_link,Axis_waist_lift1_joint,waist_lift1_joint,prismatic,0.1,0,0.462,0,0,0,base_link,0,0,1,0,0,-0.3,0,,,,,,,,
waist_lift2_link,-1.73675775387572E-06,-0.0133513583896432,0.0739992798936888,0,0,0,0.999999929294678,0.0297385492460763,1.02395943755909E-07,-3.19048633211035E-07,0.0281740371812033,-0.00307082722967025,0.00330629134693173,0,0,0,0,0,0,package://wh044/meshes/waist_lift2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wh044/meshes/waist_lift2_link.STL,,waist_lift2-1,waist_lift2_link,Axis_waist_lift2_joint,waist_lift2_joint,prismatic,0,0,0.299,0,0,0,waist_lift1_link,0,0,1,0,0,-0.3,0,,,,,,,,
waist_pitch_link,-1.94289029309402E-16,0.00215769693051747,-0.00255378222056157,0,0,0,1,0.00189736261126632,6.05296546468299E-19,-1.20340654413555E-18,0.00152989119604606,5.51028805851489E-06,0.00191354199275319,0,0,0,0,0,0,package://wh044/meshes/waist_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wh044/meshes/waist_pitch_link.STL,,waist_pitch-1,waist_pitch_link,waist_pitch_joint,waist_pitch_joint,revolute,0,0,0.304,0,0,0,waist_lift2_link,0,1,0,0,0,0,1.5707963268,,,,,,,,
waist_yaw_link,1.38777878078145E-17,2.08166817117217E-17,-0.0136488523910245,0,0,0,1,0.00354924002492018,5.36945965298884E-19,-4.30844360460343E-20,0.00209947934741727,-1.14019639186108E-18,0.00216970577738828,0,0,0,0,0,0,package://wh044/meshes/waist_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wh044/meshes/waist_yaw_link.STL,,waist_yaw-1,waist_yaw_link,waist_yaw_joint,waist_yaw_joint,revolute,0,0,0.14067,0,0,0,waist_pitch_link,0,0,1,0,0,-3.1415926536,3.1415926536,,,,,,,,
